Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Bilanciamento TCS medio,Training Stress Score®,Passi,Temperatura min,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-07-14 18:51:55,false,"Latina - 6 km D.A. easy","6.00","367","00:28:01","168","184","3.7","173","187","4:40","3:53","5","5","1.24","--","--","--","--","0.0","4,808","31.0","No","00:00:00.5","13","33.0","00:27:54","00:28:01","28","35"
Corsa,2025-07-10 18:31:03,false,"Latina - 8x600m TR rec 1'","4.53","291","00:23:42","162","185","3.3","141","192","5:14","3:13","13","13","1.31","--","--","--","--","0.0","3,434","28.0","No","00:00:02.1","15","32.0","00:21:03","00:23:42","25","36"
Corsa,2025-07-07 18:48:43,false,"Latina - 6 km D.A. easy","6.03","365","00:28:35","167","182","3.7","172","187","4:44","3:51","10","11","1.23","--","--","--","--","0.0","4,888","31.0","No","00:00:01.4","14","32.0","00:28:32","00:28:35","27","34"
Corsa,2025-07-05 09:43:10,false,"Latina - 8 L + 1 M + 1 TR","4.48","311","00:24:40","161","175","3.4","166","175","5:30","4:54","6","7","1.09","--","--","--","--","0.0","4,102","31.0","No","00:02:39.7","5","35.0","00:24:34","00:24:40","27","33"
Corsa,2025-07-04 18:18:27,false,"Latina - Progressivo","5.29","330","00:27:18","162","184","3.4","163","184","5:10","3:47","14","14","1.18","--","--","--","--","0.0","4,472","32.0","No","00:00:00.8","8","35.0","00:27:13","00:27:18","27","35"
Corsa,2025-07-02 18:22:11,false,"Latina - 10x400m TR rec 1","4.72","322","00:26:13","166","187","3.6","141","189","5:33","3:25","13","14","1.19","--","--","--","--","0.0","3,842","33.0","No","00:00:01.3","21","34.0","00:26:03","00:26:13","45","51"
Corsa,2025-06-30 19:03:27,false,"Latina - 6 km (3 low + 3","6.00","384","00:29:12","171","190","4.1","169","177","4:52","4:25","8","9","1.22","--","--","--","--","0.0","4,938","31.0","No","00:00:00.9","7","33.0","00:29:08","00:29:12","47","54"
Corsa,2025-06-26 18:55:59,false,"Latina Corsa","5.00","324","00:26:07","161","176","3.5","169","176","5:13","4:23","9","9","1.14","--","--","--","--","0.0","4,400","30.0","No","00:05:05.9","5","35.0","00:26:03","00:26:07","61","68"
Corsa,2025-06-18 19:19:43,false,"Latina - 6x800m TR + Rec","5.19","359","00:29:02","167","188","3.7","131","187","5:35","3:40","23","29","1.37","--","--","--","--","0.0","3,976","29.0","No","00:00:01.7","13","31.0","00:24:14","00:29:02","37","50"
Corsa,2025-06-16 19:06:20,false,"Latina - 6 km D.A. easy","6.01","338","00:27:17","163","191","3.8","172","211","4:32","3:31","6","9","1.28","--","--","--","--","0.0","4,660","29.0","No","00:00:02.7","13","32.0","00:27:13","00:27:17","29","37"
